Asteroid ID,Asteroid name,Minimal estimated diameter,Absolute_magnitude,Relative_velocity
2000433,433 Eros (A898 PA),22.0067027115,10.41,5.5786191875
2000719,719 Albert (A911 TB),2.0256060086,15.59,3.4460288901
2000887,887 Alinda (A918 AA),4.53476699,13.84,6.8047916126
2001036,1036 Ganymed (A924 UB),38.4197891064,9.2,6.3038662972
2001221,1221 Amor (1932 EA1),0.8882904164,17.38,13.2693759841
2001566,1566 Icarus (1949 MA),1.3018321019,16.55,27.0080710025
2001580,1580 Betulia (1950 KA),3.0800302127,14.68,28.6869686994
2001620,1620 Geographos (1951 RA),2.3472263753,15.27,11.7628121919
2001627,1627 Ivar (1929 SH),7.2202955766,12.83,8.3835108191
2001685,1685 Toro (1948 OA),3.7030107822,14.28,17.0090766566
2001862,1862 Apollo (1932 HA),1.6164228334,16.08,12.3118751776
2001863,1863 Antinous (1948 EA),2.160503512,15.45,18.0795126569
2001864,1864 Daedalus (1971 FA),2.8350124902,14.86,22.5062056272
2001865,1865 Cerberus (1971 UA),1.1656145947,16.79,15.3278825687
2001866,1866 Sisyphus (1972 XA),8.4053340207,12.5,33.8145933112
2001915,1915 Quetzalcoatl (1953 EA),0.5604733623,18.38,15.120986141
2001916,1916 Boreas (1953 RA),2.7199127735,14.95,6.9573972766
2001917,1917 Cuyo (1968 AA),3.4878273316,14.41,18.3975554436
2001943,1943 Anteros (1973 EC),1.9255507819,15.7,13.2592023362
2001980,1980 Tezcatlipoca (1950 LA),4.53476699,13.84,12.9006039021
